"","total_products","total_transactions","total_revenue","total_usage","total_accounts","churned","Business_Code","Location_Type","Year_Started","Public_Private_Indicator","Owns_Rents_Code","Square_Footage","Subsidiary_Indicator","Manufacturing_Indicator","Legal_Status_Code","Currency_Code","Status_Code","Population_Code","Hierarchy_Code","Revenue__US_Dollars_","Number_of_Family_Members","Employees_Here","Employee_Count_Total","Domestic_Ultimate_Employee_Count","Domestic_Ultimate_Revenue","Global_Ultimate_Indicator","Major_Industry_Category_Name","YearCreated","PropMissing","TP"
"47",2,83,128238.15,19913,78,"No","USA","HQ",1972,"N","X1",60000,"X3","X0","X3","X20","X1","X9","X2",88186280,210,350,500,400,2275719000,"N","Manufacturing",1999,0.0666666666666667,41.5
"48",2,4,16.05,2,1,"No","USA","HQ",1989,"N","X2",43950,"X3","X1","X3","X20","X1","X9","X3",773188752,5985,310,6300,120,6649800000,"N","Retail.Trade",1999,0.0666666666666667,2
"49",6,589,598816.51,10042862,98,"No","USA","HQ",2017,"N","X2",100000,"X0","X0","X3","X20","X1","X9","X1",700744854,5,500,2900,500,700744854,"Y","Manufacturing",1999,0.1,98.1666666666667
"50",1,2,20.92,39,1,"No","USA","HQ",1969,"N","X1",700000,"X3","X0","X3","X20","X1","X5","X2",749289448,196,1300,3200,109,1590200000,"N","Manufacturing",1999,0.1,2
"51",1,17,36.21,0,1,"No","USA","Single.Location",1985,"N","X0",8185,"X3","X1","X3","X20","X0","X5","X3",7385122,73,60,60,24,133988062,"N","Services",1999,0.1,17
"53",2,5,8.33e-16,12,1,"No","USA","Single.Location",2011,"N","X0",0,"X0","X1","X0","X20","X0","X8","X0",52000,0,1,1,1,52000,"N","Services",1999,0.2,2.5
"56",1,56,13559.63,40372,1,"No","USA","Branch",NA,"N","X2",15903,"X0","X1","X0","missing","X2","X9","X1",NA,50,100,0,1900,2941347000,"N","Services",1999,0.233333333333333,56
"57",1,20,560.77,4034,1,"No","USA","Single.Location",2010,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",45000,0,1,1,1,45000,"N","Services",1999,0.2,20
"58",2,80,28408.57,74803,44,"Yes","USA","HQ",2015,"N","X1",144000,"X3","X0","X3","X20","X1","X9","X2",291557998,52,250,639,250,291557998,"N","Manufacturing",1999,0.1,40
"60",1,54,3436.66,10265,1,"No","USA","Branch",NA,"N","X0",0,"X0","X1","X0","missing","X2","X9","X0",NA,0,NA,0,0,0,"N","Services",1999,0.4,54
"63",2,3,7.5,9,1,"No","USA","Single.Location",2011,"N","X0",2812,"X0","X1","X3","X20","X0","X9","X0",603894,0,2,2,2,603894,"N","Services",1999,0.1,1.5
"65",1,19,173.02,2821,1,"No","USA","HQ",1980,"N","X2",9000,"X0","X1","X3","X20","X1","X9","X1",5879842,2,2,25,2,5879842,"Y","Finance..Insurance..Real.Estate",1999,0.1,19
"66",8,527,538059.57,5561074,44,"No","USA","Single.Location",2011,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",480306,0,10,10,10,480306,"N","Transportation...Public.Utilities",1999,0.266666666666667,65.875
"68",6,555,983736.4,41890014,44,"No","USA","Single.Location",2015,"N","X0",3411,"X0","X1","X0","X20","X0","X9","X0",91565,0,6,6,6,91565,"N","Retail.Trade",1999,0.266666666666667,92.5
"69",1,56,2818.46,17413,1,"No","USA","HQ",2007,"N","X2",4895,"X3","X1","X3","X20","X1","X9","X3",79466089,231,42,50,350,1718781905,"N","Retail.Trade",1999,0.0666666666666667,56
"70",1,17,37.23,0,1,"No","USA","HQ",1946,"N","X2",9774,"X0","X0","X3","X20","X1","X9","X1",98199895,25,125,250,125,98199895,"Y","Manufacturing",1999,0.0666666666666667,17
"72",4,535,302781.18,7703602,83,"No","USA","Branch",NA,"N","X0",0,"X0","X1","X0","missing","X2","X9","X0",NA,0,15,0,15,0,"N","Finance..Insurance..Real.Estate",1999,0.333333333333333,133.75
"73",3,37,10253.82,15952,44,"No","USA","Branch",NA,"N","X0",0,"X0","X0","X0","missing","X2","X9","X1",NA,2480,24,0,1400,1.4751e+10,"N","Manufacturing",1999,0.3,12.3333333333333
"74",1,2,75.18,224,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",1999,1.33333333333333,2
"76",1,1,58.67,435,1,"No","USA","Single.Location",2010,"N","X0",3197,"X0","X0","X0","X20","X0","X9","X0",176530,0,2,2,2,176530,"N","Manufacturing",1999,0.2,1
"78",1,96,11213.57,20038,1,"No","USA","HQ",1986,"Y","X2",14600,"X0","X0","X3","X20","X1","X9","X1",532257000,18,85,670,85,532257000,"Y","Manufacturing",1999,0.0666666666666667,96
