"","total_products","total_transactions","total_revenue","total_usage","total_accounts","churned","Business_Code","Location_Type","Year_Started","Public_Private_Indicator","Owns_Rents_Code","Square_Footage","Subsidiary_Indicator","Manufacturing_Indicator","Legal_Status_Code","Currency_Code","Status_Code","Population_Code","Hierarchy_Code","Revenue__US_Dollars_","Number_of_Family_Members","Employees_Here","Employee_Count_Total","Domestic_Ultimate_Employee_Count","Domestic_Ultimate_Revenue","Global_Ultimate_Indicator","Major_Industry_Category_Name","YearCreated","PropMissing","TP"
"5343",1,13,263.19,804,1,"No","USA","Single.Location",1985,"N","X0",8302,"X0","X1","X12","X20","X0","X9","X0",1180056,0,15,15,15,1180056,"N","Transportation...Public.Utilities",2008,0.2,13
"5344",1,48,2671.08,11990,1,"No","APAC","Single.Location",2014,"N","X0",0,"X0","X0","X0","X50","X0","X0","X0",139042,0,1,1,1,139042,"N","Services",2008,0.333333333333333,48
"5345",2,64,2868.86,30822,1,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.2,32
"5347",1,26,408.06,2226,1,"No","USA","HQ",1978,"N","X2",6000,"X0","X1","X3","X20","X1","X4","X1",559423853,16,40,180,40,559423853,"Y","Mining",2008,0.1,26
"5348",2,9,-921.2,0,1,"No","USA","Branch",NA,"N","X2",7060,"X0","X1","X0","missing","X2","X9","X3",NA,1433,30,0,3000,1363872939,"N","Finance..Insurance..Real.Estate",2008,0.2,4.5
"5349",1,15,106.07,249,1,"No","USA","Single.Location",1962,"N","X0",12000,"X0","X1","X3","X20","X0","X9","X0",48986189,0,50,50,50,48986189,"N","Construction",2008,0.166666666666667,15
"5350",2,14,194.63,1194,1,"No","APAC","HQ",1987,"N","X0",0,"X3","X0","X3","missing","X1","X0","X4",NA,916,NA,600,0,419753224,"N","Construction",2008,0.4,7
"5353",3,108,21576.45,289055,1,"No","EMEA","Single.Location",1998,"N","X0",0,"X3","X0","X3","X160","X0","X0","X2",93495335,561,70,70,70,93495335,"N","Transportation...Public.Utilities",2008,0.333333333333333,36
"5354",1,39,1255.26,11671,1,"No","EMEA","Single.Location",2002,"N","X0",0,"X3","X0","X3","X160","X0","X0","X6",3978267,2404,12,12,0,17713771901,"N","Services",2008,0.333333333333333,39
"5355",1,23,391.21,1157,1,"No","USA","Single.Location",2007,"N","X2",5159,"X3","X0","X3","X20","X0","X8","X4",2549708,21,19,19,19,2549708,"N","Manufacturing",2008,0.166666666666667,23
"5356",1,97,59606.58,264749,1,"No","USA","HQ",2008,"N","X0",6829,"X0","X1","X3","X20","X1","X9","X1",7623584,2,27,27,27,7623584,"Y","Finance..Insurance..Real.Estate",2008,0.1,97
"5357",1,31,1819.05,6467,1,"No","USA","Single.Location",1966,"N","X1",2000,"X0","X1","X13","X20","X0","X9","X0",576628,0,6,6,6,576628,"N","Finance..Insurance..Real.Estate",2008,0.2,31
"5358",1,17,778.57,2068,1,"No","USA","HQ",1875,"N","X1",10000,"X0","X1","X3","X20","X1","X7","X1",3671000,3,10,29,10,3671000,"Y","Finance..Insurance..Real.Estate",2008,0.1,17
"5361",2,104,13061.26,137476,64,"No","EMEA","HQ",1977,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X5",9680484,403,NA,94,0,9680484,"N","Wholesale.Trade",2008,0.366666666666667,52
"5363",1,31,2944.48,8311,1,"No","USA","Single.Location",1968,"N","X1",10000,"X0","X0","X3","X20","X0","X9","X0",21987504,0,140,140,140,21987504,"N","Manufacturing",2008,0.133333333333333,31
"5364",4,179,165029.57,1625918,1,"No","EMEA","HQ",1984,"N","X0",0,"X3","X0","X3","X160","X1","X0","X4",3048029184,2592,NA,2317,0,51192049645,"N","Transportation...Public.Utilities",2008,0.3,44.75
"5365",3,129,11882.39,204113,21,"No","EMEA","Single.Location",2011,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",210000,0,3,3,3,210000,"N","Retail.Trade",2008,0.266666666666667,43
"5368",2,35,575.27,1897,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.33333333333333,17.5
"5369",7,250,856018.31,3959227,1,"No","EMEA","HQ",1970,"N","X0",0,"X3","X0","X3","X20","X1","X0","X8",900200000,71,NA,500,0,900200000,"N","Services",2008,0.333333333333333,35.7142857142857
"5375",1,34,1855.48,25575,1,"No","USA","HQ",1999,"N","X2",3749,"X0","X1","X12","X20","X1","X7","X1",1500000,2,11,45,11,1500000,"Y","Wholesale.Trade",2008,0.1,34
"5376",1,20,366.88,1095,1,"No","USA","Single.Location",1927,"N","X1",12428,"X0","X1","X3","X20","X0","X9","X0",2304375,0,38,38,38,2304375,"N","Services",2008,0.166666666666667,20
"5377",1,2,60.28,213,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.33333333333333,2
"5378",1,19,669.7,1993,1,"No","USA","Single.Location",2011,"N","X0",3926,"X0","X1","X0","X20","X0","X9","X0",161948,0,5,5,5,161948,"N","Services",2008,0.266666666666667,19
"5379",2,47,7204.95,111245,1,"No","CANADA","HQ",1993,"N","X0",0,"X3","X0","X3","X10","X1","X0","X6",38815092,576,35,300,35,38815092,"N","Transportation...Public.Utilities",2008,0.333333333333333,23.5
"5381",1,2,285.83,374,1,"No","USA","Single.Location",2006,"N","X1",5403,"X0","X1","X12","X20","X0","X8","X0",1300000,0,15,15,15,1300000,"N","Agriculture..Forestry..Fishing",2008,0.2,2
"5382",2,83,28845.08,540592,1,"No","USA","HQ",1936,"N","X1",100000,"X3","X0","X3","X20","X1","X7","X4",126709057,106,200,450,7,147501831,"N","Wholesale.Trade",2008,0.1,41.5
"5383",1,12,227.68,754,1,"No","USA","Single.Location",1993,"N","X1",4531,"X0","X1","X3","X20","X0","X8","X0",792246,0,7,7,7,792246,"N","Services",2008,0.2,12
"5384",1,32,1565.03,4670,1,"No","USA","Single.Location",1987,"N","X2",5000,"X0","X1","X3","X20","X0","X7","X0",16870502,0,12,12,12,16870502,"N","Services",2008,0.1,32
"5385",3,131,50174.85,831837,36,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.2,43.6666666666667
"5388",1,4,82.34,223,1,"No","USA","Single.Location",2011,"N","X0",4367,"X0","X1","X3","X20","X0","X7","X0",2500000,0,6,6,6,2500000,"N","Wholesale.Trade",2008,0.166666666666667,4
"5389",2,7,33.25,1101,88,"No","EMEA","Branch",NA,"N","X0",0,"X0","X0","X0","missing","X2","X0","X5",NA,609,22,0,0,21900770880,"N","Services",2008,0.466666666666667,3.5
"5392",2,27,902.44,7468,88,"No","APAC","HQ",1974,"N","X0",0,"X0","X0","X3","missing","X1","X0","X1",NA,16,NA,800,0,0,"Y","Services",2008,0.433333333333333,13.5
"5393",1,4,0,4,1,"No","USA","Single.Location",2013,"N","X0",2184,"X0","X1","X0","X20","X0","X9","X0",115442,0,2,2,2,115442,"N","Services",2008,0.2,4
"5395",2,71,8170.33,11347,1,"No","EMEA","HQ",2006,"N","X0",0,"X3","X0","X3","X160","X1","X0","X2",24733468,26,NA,397,0,301463,"N","Services",2008,0.366666666666667,35.5
"5400",1,16,542.32,3301,1,"No","EMEA","HQ",2008,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X8",NA,442,45,140,0,0,"N","Manufacturing",2008,0.333333333333333,16
"5401",1,11,131.55,1715,1,"No","EMEA","HQ",1993,"N","X0",0,"X3","X0","X3","X9100","X1","X0","X3",96466715,76,NA,750,0,96466715,"N","Manufacturing",2008,0.3,11
"5402",3,231,113506.06,4762215,64,"No","USA","HQ",2014,"N","X2",1866,"X3","X1","X3","X20","X1","X7","X2",45172835,107,3,50,130,1831546000,"N","Services",2008,0.1,77
"5405",1,4,135.69,482,1,"No","USA","Single.Location",1990,"N","X2",1900,"X0","X1","X3","X20","X0","X9","X0",7500000,0,5,5,5,7500000,"N","Services",2008,0.1,4
"5406",1,56,4289.64,15310,1,"No","APAC","Single.Location",1998,"N","X0",0,"X3","X0","X3","X50","X0","X0","X5",32515250,105,40,40,40,32515250,"N","Wholesale.Trade",2008,0.3,56
"5407",3,117,8132.81,49329,1,"No","APAC","Single.Location",2007,"N","X0",0,"X3","X0","X3","X3000","X0","X0","X2",11501927,36,50,50,50,11501927,"N","Transportation...Public.Utilities",2008,0.333333333333333,39
"5408",2,5,753.9,4655,1,"No","EMEA","HQ",1998,"N","X0",0,"X3","X0","X3","X160","X1","X0","X3",450441833,1544,NA,4233,0,450441833,"N","Finance..Insurance..Real.Estate",2008,0.333333333333333,2.5
"5409",1,17,56.3,3903,1,"No","EMEA","Single.Location",2003,"N","X0",0,"X3","X0","X3","X5080","X0","X0","X12",7649180,372,50,50,50,7649180,"N","Services",2008,0.333333333333333,17
"5410",1,28,410.85,1314,44,"No","USA","Single.Location",2011,"N","X0",3983,"X0","X1","X0","X20","X0","X9","X0",975160,0,10,10,10,975160,"N","Finance..Insurance..Real.Estate",2008,0.1,28
"5411",2,133,44534.3,632913,1,"No","EMEA","HQ",1997,"N","X0",0,"X3","X0","X3","X160","X1","X0","X2",33474079,264,NA,80,0,33474079,"N","Manufacturing",2008,0.3,66.5
"5412",4,237,250799.12,6308056,44,"No","USA","HQ",2003,"N","X0",0,"X0","X1","X3","X20","X1","X9","X1",2284901728,96,464,30129,464,2284901728,"Y","Services",2008,0.2,59.25
"5415",2,15,32.03,5,1,"No","USA","Single.Location",2013,"N","X0",6000,"X0","X1","X12","X20","X0","X9","X0",5882048,0,30,30,30,5882048,"N","Services",2008,0.1,7.5
"5416",1,17,473.68,5921,1,"No","USA","Single.Location",2005,"N","X0",4576,"X0","X1","X3","X20","X0","X7","X0",6371451,0,7,7,7,6371451,"N","Services",2008,0.1,17
"5423",1,23,7006.31,12115,1,"No","USA","HQ",1957,"N","X2",32000,"X0","X1","X3","X20","X1","X9","X1",64536534,2,160,160,160,64536534,"Y","Wholesale.Trade",2008,0.0666666666666667,23
"5424",1,16,1635.83,6521,1,"No","EMEA","Branch",NA,"N","X0",5808,"X0","X1","X0","missing","X2","X9","X2",NA,105,10,0,121,2886902000,"N","Finance..Insurance..Real.Estate",2008,0.233333333333333,16
"5425",1,26,1958.63,31002,1,"No","EMEA","Single.Location",2006,"N","X0",0,"X3","X0","X3","X5080","X0","X0","X3",NA,69,25,25,25,0,"N","Finance..Insurance..Real.Estate",2008,0.333333333333333,26
"5426",2,10,505.84,1467,1,"No","USA","Single.Location",2000,"N","X1",19000,"X0","X1","X3","X20","X0","X9","X0",11754747,0,120,120,120,11754747,"N","Services",2008,0.1,5
"5428",1,28,522.57,76515,1,"No","APAC","HQ",1997,"N","X0",0,"X0","X0","X3","missing","X1","X0","X1",NA,4,NA,306,0,0,"Y","Services",2008,0.4,28
"5429",3,277,66315.93,388945,44,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.16666666666667,92.3333333333333
"5430",1,3,2.07,13,1,"No","EMEA","Single.Location",NA,"N","X0",0,"X0","X0","X3","X160","X0","X0","X0",NA,0,NA,0,0,0,"N","Services",2008,0.433333333333333,3
"5431",1,23,1012.9,4679,1,"No","APAC","Single.Location",1989,"N","X0",0,"X0","X0","X12","X280","X0","X0","X0",767722,0,4,4,4,767722,"N","Services",2008,0.3,23
"5432",1,21,272.36,4711,1,"Yes","USA","Single.Location",1869,"N","X2",13000,"X0","X1","X3","X20","X0","X9","X0",5134265,0,37,37,37,5134265,"N","Services",2008,0.1,21
"5433",1,15,31.95,0,1,"No","USA","Single.Location",1990,"N","X2",1227,"X0","X1","X13","X20","X0","X9","X0",180000,0,2,2,2,180000,"N","Services",2008,0.166666666666667,15
"5435",1,2,0.08,2,1,"No","USA","Single.Location",2010,"N","X0",2770,"X0","X1","X0","X20","X0","X9","X0",535116,0,2,2,2,535116,"N","Services",2008,0.166666666666667,2
"5436",1,2,72.97,295,1,"No","USA","Single.Location",2010,"N","X2",900,"X0","X1","X3","X20","X0","X9","X0",3e+05,0,4,4,4,3e+05,"N","Services",2008,0.166666666666667,2
"5438",1,2,91.05,95,1,"No","USA","Single.Location",2001,"N","X2",2352,"X0","X1","X3","X20","X0","X9","X0",830903,0,6,6,6,830903,"N","Services",2008,0.1,2
"5439",1,17,36.21,0,1,"No","USA","Single.Location",1994,"N","X2",3424,"X0","X1","X3","X20","X0","X9","X0",1100000,0,9,9,9,1100000,"N","Wholesale.Trade",2008,0.1,17
"5440",1,65,1995.85,15945,1,"No","USA","HQ",1990,"N","X1",7680,"X0","X1","X3","X20","X1","X9","X1",29161432,4,36,36,36,29161432,"Y","Services",2008,0.1,65
"5441",3,65,21989.89,162434,50,"No","EMEA","Single.Location",2002,"N","X0",0,"X0","X0","X3","X5080","X0","X0","X0",NA,0,7,7,7,0,"N","Transportation...Public.Utilities",2008,0.366666666666667,21.6666666666667
"5442",1,41,1012.44,10923,1,"No","EMEA","HQ",2006,"N","X2",5485,"X3","X1","X3","X20","X1","X9","X7",385974989,43,48,1111,48,385974989,"N","Transportation...Public.Utilities",2008,0.1,41
"5445",3,151,61079.53,1021249,64,"No","USA","HQ",1977,"N","X0",350000,"X0","X0","X3","X20","X1","X8","X1",166263062,7,217,423,217,166263062,"Y","Manufacturing",2008,0.1,50.3333333333333
"5446",1,30,6155.51,113054,21,"No","USA","Single.Location",2000,"N","X2",2603,"X0","X1","X3","X20","X0","X7","X0",660000,0,9,9,9,660000,"N","Services",2008,0.0666666666666667,30
"5447",2,158,59642.81,349670,64,"No","USA","HQ",1948,"N","X2",12000,"X0","X1","X3","X20","X1","X9","X1",6360533,2,60,60,60,6360533,"Y","Services",2008,0.1,79
"5448",1,9,102.05,388,1,"No","EMEA","Single.Location",2007,"N","X0",0,"X0","X0","X3","X20","X0","X0","X0",2902711,0,10,10,10,2902711,"N","Services",2008,0.266666666666667,9
"5449",1,2,23.92,299,1,"No","USA","Single.Location",2005,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",74000,0,1,1,1,74000,"N","Services",2008,0.2,2
"5450",1,15,1873.44,3312,1,"No","USA","Single.Location",2005,"N","X0",2187,"X0","X1","X0","X20","X0","X8","X0",196208,0,2,2,2,196208,"N","Services",2008,0.2,15
"5451",1,23,1077.66,17783,1,"No","USA","Single.Location",2004,"N","X0",2661,"X0","X1","X3","X20","X0","X9","X0",579735,0,3,3,3,579735,"N","Services",2008,0.166666666666667,23
"5453",1,49,4758.99,50040,1,"No","EMEA","HQ",2015,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X2",82146556,3,NA,171,0,82146556,"N","Manufacturing",2008,0.366666666666667,49
"5454",3,109,64665.02,336978,1,"No","EMEA","HQ",1992,"N","X0",0,"X3","X0","X3","X160","X1","X0","X2",44750698,16,NA,171,0,101712400,"N","Manufacturing",2008,0.4,36.3333333333333
"5457",1,48,1247.76,14225,1,"No","USA","Single.Location",2015,"N","X0",2770,"X0","X1","X0","X20","X0","X9","X0",836926,0,2,2,2,836926,"N","Services",2008,0.266666666666667,48
"5458",1,61,5312.14,80903,1,"No","USA","HQ",1931,"N","X1",135914,"X0","X1","X3","X20","X1","X9","X1",126412906,10,700,1100,700,126412906,"Y","Services",2008,0.1,61
"5459",1,24,1070.28,2753,1,"No","APAC","HQ",2005,"N","X0",0,"X0","X0","X3","X50","X1","X0","X1",10191376,4,NA,0,0,10191376,"Y","Mining",2008,0.333333333333333,24
"5460",2,80,9117.74,78063,1,"No","APAC","HQ",2000,"N","X0",0,"X3","X0","X3","X50","X1","X0","X3",3822496534,279,NA,33000,0,3822496534,"N","Services",2008,0.333333333333333,40
"5461",1,25,3202.71,92748,1,"No","USA","Single.Location",1967,"N","X2",4000,"X0","X1","X3","X20","X0","X8","X0",8783495,0,30,30,30,8783495,"N","Finance..Insurance..Real.Estate",2008,0.1,25
"5462",1,3,6.44,113,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.33333333333333,3
"5464",1,26,188.77,5155,1,"No","EMEA","Branch",1975,"N","X0",0,"X0","X0","X120","missing","X2","X0","X0",NA,0,5,0,5,0,"N","Services",2008,0.433333333333333,26
"5465",1,19,73.45,11,1,"No","USA","HQ",1996,"N","X2",30195,"X3","X1","X3","X20","X1","X9","X3",376029000,33,130,3500,1000,414976000,"N","Services",2008,0.0666666666666667,19
"5466",1,46,6979.3,45925,1,"No","EMEA","Single.Location",1999,"N","X0",0,"X0","X0","X101","X5080","X0","X0","X0",751127,0,11,11,11,751127,"N","Services",2008,0.3,46
"5467",1,59,3505.54,39294,1,"No","USA","Branch",NA,"N","X0",3234,"X0","X1","X0","missing","X2","X9","X1",NA,16,1,0,12,16146491,"N","Transportation...Public.Utilities",2008,0.266666666666667,59
"5469",3,114,82495.59,468640,1,"No","USA","Branch",NA,"N","X0",3753,"X0","X1","X0","missing","X2","X8","X2",NA,364,4,0,153,3.041e+09,"N","Mining",2008,0.3,38
"5470",1,27,1934.86,6113,1,"No","USA","Branch",NA,"N","X0",4171,"X0","X1","X0","missing","X2","X7","X1",NA,43,5,5,750,0,"N","Services",2008,0.266666666666667,27
"5471",1,1,-75,0,1,"No","USA","Single.Location",1979,"N","X0",0,"X0","X1","X3","X20","X0","X9","X0",110000,0,2,2,2,110000,"N","Services",2008,0.2,1
"5474",1,1,0.08,2,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.33333333333333,1
"5475",1,60,54029.55,0,1,"No","USA","Single.Location",2011,"N","X1",18000,"X3","X1","X3","X20","X0","X9","X2",45303814,6,294,294,294,45303814,"N","Services",2008,0.0666666666666667,60
"5476",4,327,613946.61,21129661,1,"No","APAC","Single.Location",2001,"N","X0",0,"X0","X0","X0","X3000","X0","X0","X0",12713445316,0,23000,23000,23000,12713445316,"N","Transportation...Public.Utilities",2008,0.3,81.75
"5477",1,20,313.13,289,1,"No","EMEA","Single.Location",1992,"N","X0",0,"X0","X0","X12","X160","X0","X0","X0",1193801,0,24,24,24,1193801,"N","Services",2008,0.333333333333333,20
"5478",1,49,3287.06,23054,1,"No","USA","HQ",1995,"N","X2",3725,"X0","X1","X3","X20","X1","X9","X1",20466810,6,8,200,8,20466810,"Y","Services",2008,0.133333333333333,49
"5479",1,6,453.28,1320,1,"No","USA","HQ",1904,"N","X0",100000,"X0","X1","X3","X20","X1","X9","X1",88197183,3,130,144,130,88197183,"Y","Finance..Insurance..Real.Estate",2008,0.2,6
"5480",1,23,236.66,631,1,"No","USA","HQ",1985,"N","X1",17000,"X0","X1","X3","X20","X1","X8","X1",12086953,2,20,40,20,12086953,"Y","Wholesale.Trade",2008,0.1,23
"5481",1,28,1047.27,1700,1,"Yes","USA","HQ",2008,"N","X2",3583,"X0","X1","X12","X20","X1","X9","X1",443803,2,5,5,5,443803,"Y","Transportation...Public.Utilities",2008,0.166666666666667,28
"5482",1,14,497.51,1542,1,"No","USA","Single.Location",1974,"N","X2",3593,"X0","X1","X3","X20","X0","X7","X0",3024051,0,21,21,21,3024051,"N","Services",2008,0.133333333333333,14
"5485",1,2,3.3,6,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.33333333333333,2
"5487",1,25,222.84,1788,1,"No","USA","Single.Location",2006,"N","X0",2919,"X0","X1","X0","X20","X0","X8","X0",400701,0,3,3,3,400701,"N","Finance..Insurance..Real.Estate",2008,0.133333333333333,25
"5488",1,6,2.19,0,1,"No","USA","Single.Location",2003,"N","X2",5478,"X0","X1","X3","X20","X0","X8","X0",7560359,0,52,52,52,7560359,"N","Services",2008,0.1,6
"5489",3,7,21.43,922,1,"No","APAC","Single.Location",2001,"N","X0",0,"X3","X0","X3","X50","X0","X0","X3",12416290,20,150,150,150,12416290,"N","Transportation...Public.Utilities",2008,0.3,2.33333333333333
"5490",2,97,31714.5,422908,1,"No","EMEA","Branch",1977,"N","X0",0,"X0","X0","X3","missing","X2","X0","X2",NA,91,218,0,0,0,"N","Manufacturing",2008,0.366666666666667,48.5
"5492",1,16,0,0,1,"Yes","USA","Single.Location",NA,"N","X0",0,"X0","X0","X0","X20","X0","X9","X0",NA,0,150,0,150,0,"N","Manufacturing",2008,0.333333333333333,16
"5493",1,71,3122.85,15182,1,"No","EMEA","Branch",NA,"N","X0",0,"X0","X0","X0","missing","X2","X0","X2",NA,81,15,0,0,632590707,"N","Manufacturing",2008,0.366666666666667,71
"5494",1,60,15913.98,204471,1,"No","USA","HQ",1972,"N","X1",30000,"X3","X1","X3","X20","X1","X8","X2",122534999,34,60,3000,50,12142510,"N","Services",2008,0.1,60
"5496",1,4,7.52,20,1,"Yes","USA","Single.Location",2010,"N","X0",0,"X0","X0","X3","X20","X0","X9","X0",3e+05,0,4,4,4,3e+05,"N","Manufacturing",2008,0.2,4
"5499",1,33,1348.99,8978,1,"No","APAC","HQ",1979,"N","X0",0,"X3","X0","X0","missing","X1","X0","X2",NA,128,NA,170,0,0,"N","Wholesale.Trade",2008,0.4,33
"5500",1,2,-680,0,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.33333333333333,2
"5501",1,19,392.9,1302,1,"No","USA","Single.Location",2001,"N","X2",14500,"X0","X1","X12","X20","X0","X9","X0",3476774,0,3,3,3,3476774,"N","Wholesale.Trade",2008,0.1,19
"5503",2,25,5197.22,5524,1,"No","USA","Single.Location",1865,"N","X0",4381,"X0","X1","X13","X20","X0","X9","X0",600285,0,10,10,10,600285,"N","Services",2008,0.133333333333333,12.5
"5504",1,20,4151.69,33120,1,"No","USA","Single.Location",1986,"N","X2",6000,"X0","X1","X3","X20","X0","X9","X0",2025000,0,7,7,7,2025000,"N","Services",2008,0.1,20
"5506",3,63,5519.9,43312,44,"No","APAC","Single.Location",2004,"N","X0",0,"X3","X0","X3","X3000","X0","X0","X3",6260431,92,NA,0,0,6260431,"N","Transportation...Public.Utilities",2008,0.333333333333333,21
"5507",1,53,5664.66,63724,1,"No","USA","Single.Location",1989,"N","X1",898000,"X3","X0","X3","X20","X0","X7","X2",4.3e+08,12,450,450,450,4.3e+08,"N","Manufacturing",2008,0.1,53
"5508",3,93,13180.62,46790,44,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.33333333333333,31
"5509",1,30,301.51,19795,88,"No","EMEA","Single.Location",1997,"N","X0",0,"X3","X0","X3","X160","X0","X0","X5",3319548716,4832,1013,1013,0,1.83008e+11,"N","Services",2008,0.3,30
"5510",2,67,7773.48,126564,1,"No","EMEA","HQ",2012,"N","X0",0,"X0","X0","X3","X160","X1","X0","X1",943967700,21,NA,910,0,943967700,"Y","Transportation...Public.Utilities",2008,0.333333333333333,33.5
"5511",1,40,2189.9,36474,1,"No","USA","Single.Location",2007,"N","X2",0,"X0","X1","X0","missing","X0","X8","X0",NA,0,NA,0,0,0,"N","Public.Administration",2008,0.366666666666667,40
"5512",1,50,2565.14,7246,1,"No","USA","Single.Location",2002,"N","X0",2493,"X3","X0","X3","X20","X0","X9","X2",115392,4,1,1,85,19606415,"N","Manufacturing",2008,0.133333333333333,50
"5515",1,6,100.16,1252,1,"No","USA","HQ",1913,"N","X1",21000,"X0","X1","X3","X20","X1","X9","X1",9012778,24,32,181,32,9012778,"Y","Services",2008,0.1,6
"5516",1,92,16849.57,13678,1,"No","USA","HQ",2014,"N","X0",4985,"X3","X0","X12","X20","X1","X9","X2",819622,27,6,12,262,427054000,"N","Manufacturing",2008,0.2,92
"5517",1,13,133.42,6925,1,"No","APAC","Single.Location",1999,"N","X0",0,"X0","X0","X0","X50","X0","X0","X0",12457431,0,35,35,35,12457431,"N","Services",2008,0.333333333333333,13
"5519",1,32,0,351204,1,"No","APAC","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.16666666666667,32
"5522",1,10,37.18,70,1,"No","APAC","Single.Location",2002,"N","X0",0,"X3","X0","X3","X3000","X0","X0","X3",10630519,52,8,8,8,10630519,"N","Wholesale.Trade",2008,0.333333333333333,10
"5525",1,18,1767.65,3459,1,"No","USA","HQ",1984,"N","X1",8355,"X0","X1","X3","X20","X1","X9","X1",7500593,5,5,110,5,7500593,"Y","Services",2008,0.1,18
"5526",1,1,-0.84,0,1,"No","USA","Branch",NA,"N","X2",3288,"X0","X1","X0","missing","X2","X9","X3",NA,226,10,0,250,9952751262,"N","Finance..Insurance..Real.Estate",2008,0.2,1
"5527",2,51,2590.96,22609,1,"No","USA","Single.Location",1932,"N","X1",17000,"X0","X1","X3","X20","X0","X9","X0",3791016,0,22,22,22,3791016,"N","Services",2008,0.1,25.5
"5528",1,32,3184.09,988,1,"No","USA","HQ",2011,"N","X2",32000,"X3","X1","X12","X20","X1","X9","X3",16729745,516,100,180,35,54008927,"N","Services",2008,0.1,32
"5530",1,16,467.62,2728,1,"No","USA","Single.Location",1979,"N","X2",2809,"X0","X1","X3","X20","X0","X7","X0",1095121,0,11,11,11,1095121,"N","Services",2008,0.133333333333333,16
"5531",1,38,10259.65,90683,1,"No","USA","HQ",1967,"N","X2",75000,"X0","X1","X3","X20","X1","X9","X1",89171700,6,300,300,300,89171700,"Y","Manufacturing",2008,0.1,38
"5532",1,8,12.78,0,1,"Yes","USA","Single.Location",2008,"N","X0",2694,"X0","X1","X0","X20","X0","X9","X0",202758,0,3,3,3,202758,"N","Transportation...Public.Utilities",2008,0.166666666666667,8
"5533",1,5,43.41,129,1,"No","USA","Single.Location",1954,"N","X0",5337,"X0","X1","X12","X20","X0","X7","X0",2100754,0,19,19,19,2100754,"N","Services",2008,0.1,5
"5534",1,1,0,3,1,"No","EMEA","Single.Location",2002,"N","X0",0,"X3","X0","X3","X5080","X0","X0","X3",3688740,47,NA,0,0,3688740,"N","Wholesale.Trade",2008,0.366666666666667,1
"5535",1,3,0,51,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2008,1.33333333333333,3
"5536",1,3,17.31,100,1,"No","EMEA","Single.Location",2006,"N","X0",0,"X3","X0","X120","X160","X0","X0","X3",2009755,6,20,20,0,0,"N","Services",2008,0.333333333333333,3
"5538",1,32,8569.29,77283,1,"Yes","USA","HQ",1980,"N","X2",2000,"X0","X1","X3","X20","X1","X9","X1",7989368,4,21,35,21,7989368,"Y","Services",2008,0.1,32
"5540",2,81,6840.12,92471,1,"No","USA","HQ",1919,"N","X0",14000,"X0","X1","X3","X20","X1","X9","X1",69215219,3,600,600,600,69215219,"Y","Services",2008,0.1,40.5
"5541",1,1,1.99,0,1,"No","USA","HQ",1977,"N","X1",1800,"X0","X1","X3","X20","X1","X4","X1",2827646,2,8,11,8,2827646,"Y","Finance..Insurance..Real.Estate",2008,0.1,1
"5542",3,42,5189.23,7018,64,"No","APAC","Single.Location",2001,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,3,3,3,0,"N","Transportation...Public.Utilities",2008,0.4,14
"5543",1,1,0.56,6,1,"No","EMEA","Single.Location",1983,"N","X0",0,"X0","X0","X3","X5080","X0","X0","X0",20284695,0,108,108,108,20284695,"N","Wholesale.Trade",2008,0.3,1
